month,lat_bin,lon_bin,n,power_MW
6,29.0,-109.5,19,2597.564
6,29.0,-109.0,29,1745.8429
6,29.0,-108.5,11,1830.345
6,29.0,-108.0,4,433.42056
6,29.0,-106.0,1,72.50446
6,29.0,-105.5,1,31.506462
6,29.0,-105.0,3,443.14935
6,29.0,-104.5,1,56.69563
6,29.0,-103.5,8,655.01794
6,29.0,-103.0,3,172.7994
6,29.0,-102.5,1,34.49488
6,29.0,-102.0,2,265.38428
6,29.0,-101.5,1,56.876915
6,29.0,-99.5,9,260.6645
6,29.0,-99.0,1,32.836678
6,29.0,-98.5,2,44.670242
6,29.0,-98.0,1,89.944756
6,29.0,-97.5,2,52.25956
6,29.0,-97.0,1,45.240356
6,29.0,-96.5,1,22.688656
6,29.0,-96.0,1,32.55032
6,29.0,-95.5,5,195.19305
6,29.0,-82.5,3,289.1732
6,29.0,-82.0,2,72.645515
6,29.0,-81.5,3,275.30975
6,29.0,-81.0,1,99.76094
6,29.5,-110.5,3,449.05084
6,29.5,-110.0,12,556.87384
6,29.5,-109.5,3,172.16646
6,29.5,-109.0,7,385.58224
6,29.5,-108.5,8,1058.6606
6,29.5,-108.0,16,2796.3022
6,29.5,-107.0,5,684.0379
6,29.5,-106.5,11,3338.4397
6,29.5,-106.0,2,175.61403
6,29.5,-105.0,5,145.62492
6,29.5,-104.0,1,57.976665
6,29.5,-103.5,3,149.98154
6,29.5,-103.0,9,434.28235
6,29.5,-102.5,22,2064.9084
6,29.5,-102.0,9,1056.5327
6,29.5,-100.5,1,26.30624
6,29.5,-100.0,4,222.06226
6,29.5,-99.5,1,30.234041
6,29.5,-98.0,2,48.67004
6,29.5,-97.0,1,25.988325
6,29.5,-94.5,2,232.59186
6,29.5,-91.0,1,36.437935
6,29.5,-90.5,2,89.11926
6,29.5,-83.0,1,31.104248
6,29.5,-81.5,3,136.4045
6,30.0,-111.0,4,257.6896
6,30.0,-110.5,9,1098.7963
6,30.0,-109.5,3,183.82175
6,30.0,-109.0,1,34.09543
6,30.0,-108.5,7,1145.0645
6,30.0,-108.0,5,701.387
6,30.0,-107.5,11,1563.2783
6,30.0,-107.0,5,718.2853
6,30.0,-106.5,6,1743.6063
6,30.0,-106.0,2,194.03577
6,30.0,-105.5,1,45.44779
6,30.0,-104.5,4,465.04147
6,30.0,-103.5,2,70.43533
6,30.0,-102.5,2,66.082306
6,30.0,-102.0,2,80.57243
6,30.0,-101.5,1,38.061897
6,30.0,-101.0,1,37.97486
6,30.0,-100.5,2,89.76932
6,30.0,-100.0,2,63.305603
6,30.0,-99.5,2,88.190994
6,30.0,-99.0,2,66.87641
6,30.0,-98.5,1,25.87706
6,30.0,-97.5,3,101.84588
6,30.0,-97.0,1,27.16928
6,30.0,-96.0,3,92.820244
6,30.0,-94.0,3,102.73123
6,30.0,-93.5,2,71.77666
6,30.0,-93.0,4,321.84436
6,30.0,-92.5,2,58.172768
6,30.0,-91.0,1,57.795864
6,30.0,-90.5,2,64.08829
6,30.0,-85.5,5,369.71146
6,30.0,-85.0,3,235.08438
6,30.0,-84.5,14,1166.545
6,30.0,-83.5,9,1669.9286
6,30.0,-83.0,8,370.9172
6,30.0,-82.0,3,186.88457
6,30.0,-81.5,1,29.320148
6,30.5,-112.0,2,124.87785
6,30.5,-111.5,3,158.60336
6,30.5,-111.0,9,1897.7815
6,30.5,-110.5,6,1505.6179
6,30.5,-109.5,35,2715.8218
6,30.5,-109.0,3,367.78558
6,30.5,-108.5,32,9444.464
6,30.5,-108.0,2,239.90329
6,30.5,-107.0,2,295.91962
6,30.5,-106.5,1,43.59332
6,30.5,-105.5,1,98.60231
6,30.5,-105.0,3,205.39224
6,30.5,-104.5,1,30.644505
6,30.5,-102.0,2,51.443626
6,30.5,-101.0,11,2782.3809
6,30.5,-100.5,1,73.40641
6,30.5,-100.0,4,146.36655
6,30.5,-99.5,1,36.565838
6,30.5,-99.0,1,15.920296
6,30.5,-98.5,10,915.6844
6,30.5,-97.0,1,54.599716
6,30.5,-95.5,2,85.248215
6,30.5,-94.5,6,920.0881
6,30.5,-94.0,2,149.23233
6,30.5,-93.5,5,580.5267
6,30.5,-93.0,9,777.39386
6,30.5,-92.5,3,253.29842
6,30.5,-92.0,2,87.506584
6,30.5,-90.5,1,135.54936
6,30.5,-90.0,1,40.414883
6,30.5,-89.5,2,67.76955
6,30.5,-88.5,1,40.567345
6,30.5,-88.0,1,35.796734
6,30.5,-87.0,1,58.788357
6,30.5,-86.5,7,498.98618
6,30.5,-86.0,6,370.32758
6,30.5,-85.5,7,524.0988
6,30.5,-85.0,4,199.44078
6,30.5,-84.5,3,226.98953
6,30.5,-84.0,1,17.79833
6,30.5,-83.5,3,100.1532
6,30.5,-82.5,4,1733.3813
6,31.0,-115.5,1,205.39372
6,31.0,-111.0,8,935.6146
6,31.0,-110.0,12,1510.5446
6,31.0,-109.0,14,4816.022
6,31.0,-108.5,6,2198.0295
6,31.0,-108.0,3,481.76895
6,31.0,-102.5,1,21.063416
6,31.0,-102.0,1,27.894829
6,31.0,-101.5,4,1092.81
6,31.0,-100.5,3,135.45764
6,31.0,-100.0,3,214.12851
6,31.0,-99.5,6,144.66965
6,31.0,-99.0,5,182.71681
6,31.0,-98.0,6,586.07794
6,31.0,-97.5,7,961.5687
6,31.0,-97.0,2,33.410614
6,31.0,-96.5,2,79.338745
6,31.0,-96.0,1,22.614338
6,31.0,-95.5,1,60.540215
6,31.0,-95.0,4,330.5054
6,31.0,-94.5,5,349.64102
6,31.0,-94.0,1,28.692753
6,31.0,-93.5,2,94.68846
6,31.0,-93.0,17,1513.7249
6,31.0,-92.5,13,1019.46704
6,31.0,-92.0,8,520.19006
6,31.0,-91.5,9,652.8524
6,31.0,-91.0,1,30.111496
6,31.0,-90.5,8,530.9356
6,31.0,-89.0,1,72.10101
6,31.0,-88.5,1,35.78427
6,31.0,-87.5,1,87.700035
6,31.0,-87.0,5,310.0005
6,31.0,-86.0,1,36.268402
6,31.0,-85.5,1,49.760437
6,31.0,-85.0,2,242.76544
6,31.0,-84.5,4,193.29999
6,31.0,-84.0,3,198.9469
6,31.0,-83.5,5,606.84326
6,31.0,-83.0,1,51.57497
6,31.0,-81.5,1,28.332966
6,31.5,-115.5,1,293.6652
6,31.5,-113.5,5,293.0326
6,31.5,-113.0,2,72.45695
6,31.5,-111.0,3,289.69595
6,31.5,-110.5,5,609.5151
6,31.5,-110.0,1,122.42057
6,31.5,-109.0,15,6804.7856
6,31.5,-108.0,2,824.35223
6,31.5,-104.0,2,50.04876
6,31.5,-103.0,3,66.32323
6,31.5,-102.5,1,22.355507
6,31.5,-102.0,22,1149.9485
6,31.5,-101.5,3,177.2807
6,31.5,-101.0,9,240.18796
6,31.5,-100.5,2,80.57948
6,31.5,-100.0,3,92.92976
6,31.5,-99.5,2,64.766266
6,31.5,-98.5,6,555.1327
6,31.5,-98.0,3,135.3541
6,31.5,-97.5,4,151.18549
6,31.5,-97.0,1,37.081223
6,31.5,-96.5,1,21.33749
6,31.5,-95.0,5,223.30444
6,31.5,-94.5,3,104.874084
6,31.5,-94.0,5,408.1617
6,31.5,-93.5,4,280.87375
6,31.5,-93.0,17,1475.8499
6,31.5,-92.5,5,230.4062
6,31.5,-92.0,11,645.68634
6,31.5,-91.5,4,149.9938
6,31.5,-90.5,3,124.22414
6,31.5,-90.0,1,35.190987
6,31.5,-89.5,3,105.32013
6,31.5,-89.0,3,126.961044
6,31.5,-88.5,1,24.894424
6,31.5,-88.0,1,22.3761
6,31.5,-87.5,1,41.8357
6,31.5,-85.0,4,403.2676
6,31.5,-84.5,5,184.3931
6,31.5,-84.0,5,165.55568
6,31.5,-83.5,2,54.748947
6,31.5,-83.0,1,19.346893
6,31.5,-82.5,6,282.5187
6,31.5,-82.0,1,33.048786
6,32.0,-116.0,1,241.1221
6,32.0,-115.5,2,325.48303
6,32.0,-115.0,1,106.14495
6,32.0,-113.5,31,2236.3948
6,32.0,-113.0,12,575.7772
6,32.0,-111.5,6,1604.1697
6,32.0,-110.5,2,390.69785
6,32.0,-110.0,1,299.9408
6,32.0,-106.5,1,30.516958
6,32.0,-104.0,1,24.886848
6,32.0,-103.0,1,38.578175
6,32.0,-102.5,2,91.42081
6,32.0,-102.0,16,578.92896
6,32.0,-101.5,1,29.70723
6,32.0,-101.0,8,1234.4377
6,32.0,-100.5,8,878.73956
6,32.0,-100.0,1,73.164536
6,32.0,-99.5,3,122.66384
6,32.0,-99.0,2,98.7881
6,32.0,-98.5,1,22.497322
6,32.0,-98.0,3,124.92279
6,32.0,-97.0,4,109.77038
6,32.0,-96.5,2,222.61014
6,32.0,-96.0,4,742.4594
6,32.0,-95.0,2,91.98462
6,32.0,-94.5,5,261.38333
6,32.0,-94.0,4,569.8229
6,32.0,-93.5,2,63.807434
6,32.0,-93.0,2,82.508705
6,32.0,-92.5,5,427.312
6,32.0,-92.0,7,1472.1609
6,32.0,-91.5,3,115.33524
6,32.0,-90.5,4,234.05135
6,32.0,-88.5,7,272.8441
6,32.0,-87.5,3,185.76727
6,32.0,-86.5,3,115.65238
6,32.0,-86.0,7,258.65247
6,32.0,-85.5,1,48.283035
6,32.0,-84.5,4,235.95457
6,32.0,-84.0,6,731.3355
6,32.0,-83.5,9,822.7171
6,32.0,-83.0,8,882.7681
6,32.0,-82.0,5,422.8207
6,32.0,-81.5,3,250.88329
6,32.5,-117.0,5,1101.8301
6,32.5,-116.5,8,2780.4756
6,32.5,-115.0,9,1112.5387
6,32.5,-114.5,5,747.50476
6,32.5,-114.0,5,311.4361
6,32.5,-113.5,3,229.92859
6,32.5,-113.0,2,116.28775
6,32.5,-111.0,10,4876.3423
6,32.5,-110.5,17,4688.324
6,32.5,-110.0,4,983.0198
6,32.5,-105.5,1,77.38151
6,32.5,-105.0,1,80.6707
6,32.5,-102.5,2,62.750572
6,32.5,-101.5,4,135.44215
6,32.5,-101.0,2,81.43697
6,32.5,-100.5,5,597.5049
6,32.5,-100.0,1,35.5155
6,32.5,-99.5,4,294.19592
6,32.5,-99.0,3,117.93654
6,32.5,-98.5,6,352.0962
6,32.5,-98.0,2,38.00839
6,32.5,-97.5,1,28.511889
6,32.5,-97.0,1,78.39582
6,32.5,-96.5,3,114.54738
6,32.5,-95.5,6,229.34583
6,32.5,-95.0,6,248.11809
6,32.5,-94.0,1,53.72073
6,32.5,-93.5,2,65.63184
6,32.5,-93.0,2,72.76372
6,32.5,-92.0,4,177.19698
6,32.5,-91.5,5,1200.895
6,32.5,-91.0,9,383.54062
6,32.5,-90.5,5,302.71832
6,32.5,-90.0,1,31.578661
6,32.5,-89.0,1,63.107815
6,32.5,-88.5,1,25.547003
6,32.5,-87.0,2,153.41992
6,32.5,-86.5,1,22.32023
6,32.5,-85.5,1,25.846558
6,32.5,-84.0,4,539.31116
6,32.5,-83.0,1,21.200018
6,32.5,-82.5,1,23.124672
6,32.5,-82.0,3,252.31763
6,32.5,-81.5,1,28.559587
6,33.0,-117.5,1,206.93497
6,33.0,-115.5,5,949.3999
6,33.0,-115.0,3,639.10675
6,33.0,-114.5,7,617.3608
6,33.0,-114.0,28,2076.62
6,33.0,-113.5,11,645.9238
6,33.0,-113.0,3,126.14195
6,33.0,-112.5,3,205.1716
6,33.0,-112.0,13,1169.4282
6,33.0,-111.0,20,6421.0312
6,33.0,-110.5,29,8789.001
6,33.0,-110.0,19,6905.941
6,33.0,-109.0,1,45.62221
6,33.0,-108.5,32,5243.5923
6,33.0,-108.0,99,26807.71
6,33.0,-107.5,1,71.26057
6,33.0,-106.5,1,73.02802
6,33.0,-106.0,1,64.57013
6,33.0,-103.0,1,69.649284
6,33.0,-102.5,1,52.937252
6,33.0,-102.0,1,33.262314
6,33.0,-100.0,5,315.83524
6,33.0,-99.0,8,1412.7108
6,33.0,-98.5,14,4928.5073
6,33.0,-98.0,16,5896.545
6,33.0,-96.0,1,33.877014
6,33.0,-95.5,17,564.8288
6,33.0,-95.0,36,1190.2192
6,33.0,-94.5,4,137.90385
6,33.0,-92.5,1,90.1144
6,33.0,-91.5,2,111.670815
6,33.0,-91.0,4,245.35318
6,33.0,-90.5,2,84.94355
6,33.0,-89.5,3,109.00989
6,33.0,-89.0,2,64.060165
6,33.0,-88.5,2,105.84506
6,33.0,-87.5,4,185.86617
6,33.0,-87.0,5,862.5618
6,33.0,-86.5,2,69.27636
6,33.0,-85.5,2,208.85007
6,33.0,-84.0,1,68.58563
6,33.0,-83.0,1,25.543215
6,33.0,-82.5,2,91.40245
6,33.0,-82.0,1,103.23738
6,33.0,-81.5,3,203.55843
6,33.0,-81.0,3,119.8553
6,33.0,-80.5,1,70.90653
6,33.0,-80.0,1,38.56678
6,33.5,-117.5,1,142.24059
6,33.5,-117.0,2,220.2304
6,33.5,-116.5,6,2245.8271
6,33.5,-116.0,1,71.224144
6,33.5,-115.5,1,69.780754
6,33.5,-114.5,5,2111.567
6,33.5,-113.0,44,2679.622
6,33.5,-112.5,2,257.1413
6,33.5,-112.0,2,130.61197
6,33.5,-111.5,63,26420.863
6,33.5,-111.0,125,55557.81
6,33.5,-110.5,19,11274.261
6,33.5,-109.5,72,27085.443
6,33.5,-109.0,13,6330.6704
6,33.5,-108.5,63,22004.62
6,33.5,-108.0,23,3605.4006
6,33.5,-107.5,7,3295.4607
6,33.5,-107.0,1,140.79964
6,33.5,-106.0,10,8208.646
6,33.5,-105.5,17,6932.746
6,33.5,-105.0,4,971.5796
6,33.5,-102.5,1,44.900833
6,33.5,-101.5,2,72.705
6,33.5,-101.0,1,39.58721
6,33.5,-100.5,1,23.039036
6,33.5,-100.0,2,88.38002
6,33.5,-99.0,4,182.44495
6,33.5,-97.5,2,57.04706
6,33.5,-96.5,1,35.285553
6,33.5,-96.0,9,854.8997
6,33.5,-95.5,3,296.3947
6,33.5,-94.5,2,89.34334
6,33.5,-94.0,5,409.0437
6,33.5,-93.5,8,508.52722
6,33.5,-93.0,2,95.92047
6,33.5,-92.0,3,237.62737
6,33.5,-91.5,6,384.53128
6,33.5,-91.0,4,195.00662
6,33.5,-90.5,7,885.82166
6,33.5,-90.0,1,22.927387
6,33.5,-89.0,1,31.429882
6,33.5,-88.5,4,111.23836
6,33.5,-87.5,1,29.33147
6,33.5,-86.0,1,36.699837
6,33.5,-84.5,1,21.421106
6,33.5,-84.0,1,29.766994
6,33.5,-83.0,1,39.01525
6,33.5,-82.5,1,31.818247
6,33.5,-80.5,1,33.010796
6,33.5,-80.0,4,141.11655
6,33.5,-79.5,1,47.50407
6,34.0,-117.5,2,442.15155
6,34.0,-117.0,4,788.969
6,34.0,-116.5,1,87.68987
6,34.0,-116.0,1,94.84303
6,34.0,-114.0,1,83.42137
6,34.0,-113.0,1,83.13561
6,34.0,-112.5,1,42.433056
6,34.0,-112.0,3,614.42255
6,34.0,-111.5,48,21139.01
6,34.0,-109.5,2,115.04372
6,34.0,-108.5,8,4697.391
6,34.0,-108.0,7,875.32245
6,34.0,-107.0,1,49.590057
6,34.0,-106.0,3,654.14056
6,34.0,-103.0,1,25.4197
6,34.0,-101.0,1,30.807068
6,34.0,-100.5,3,285.4005
6,34.0,-100.0,10,582.1856
6,34.0,-99.0,1,40.044117
6,34.0,-98.5,3,368.77094
6,34.0,-98.0,1,29.277905
6,34.0,-97.5,1,31.057753
6,34.0,-96.0,4,327.5238
6,34.0,-95.0,4,238.9383
6,34.0,-94.5,11,977.08496
6,34.0,-94.0,12,678.03784
6,34.0,-93.5,2,126.498566
6,34.0,-93.0,5,388.52368
6,34.0,-92.5,3,229.14708
6,34.0,-92.0,3,158.77585
6,34.0,-91.5,3,229.80545
6,34.0,-91.0,8,1194.101
6,34.0,-90.5,6,1629.235
6,34.0,-90.0,5,806.53766
6,34.0,-89.5,3,137.95871
6,34.0,-88.5,2,92.351746
6,34.0,-86.0,2,90.31181
6,34.0,-85.5,1,25.576063
6,34.0,-85.0,1,22.088427
6,34.0,-83.5,1,32.26322
6,34.0,-82.0,1,89.96835
6,34.0,-80.0,1,170.21078
6,34.0,-79.5,1,32.41775
6,34.0,-79.0,2,87.578674
6,34.0,-78.5,8,6844.218
6,34.0,-78.0,3,1161.1906
6,34.5,-119.0,5,2861.6255
6,34.5,-118.5,4,1773.7555
6,34.5,-117.5,4,4872.923
6,34.5,-114.0,5,3304.0708
6,34.5,-112.5,3,537.77435
6,34.5,-112.0,7,890.8172
6,34.5,-111.5,29,7489.8687
6,34.5,-110.5,7,3524.9167
6,34.5,-109.5,1,43.456535
6,34.5,-108.0,1,35.92624
6,34.5,-107.0,1,337.937
6,34.5,-104.0,1,28.646847
6,34.5,-101.0,6,339.53088
6,34.5,-100.5,5,288.4606
6,34.5,-100.0,2,79.28699
6,34.5,-99.5,2,103.103836
6,34.5,-99.0,2,134.13342
6,34.5,-98.5,6,789.3953
6,34.5,-96.5,2,210.69669
6,34.5,-96.0,1,30.551756
6,34.5,-95.5,1,33.466187
6,34.5,-95.0,9,813.77747
6,34.5,-94.5,4,232.97488
6,34.5,-94.0,8,570.5887
6,34.5,-93.5,1,34.075226
6,34.5,-93.0,1,43.9276
6,34.5,-92.5,2,69.418076
6,34.5,-92.0,12,1454.0548
6,34.5,-91.5,5,656.8135
6,34.5,-91.0,11,1405.6484
6,34.5,-90.5,1,70.276344
6,34.5,-90.0,4,211.92336
6,34.5,-89.5,1,31.004429
6,34.5,-87.5,1,31.167618
6,34.5,-87.0,1,29.355097
6,34.5,-85.0,1,46.403465
6,34.5,-83.0,1,27.189785
6,34.5,-82.0,1,135.28929
6,34.5,-81.5,2,52.32234
6,34.5,-80.0,1,25.766895
6,34.5,-79.5,1,54.261055
6,34.5,-79.0,3,247.43256
6,34.5,-78.5,4,239.02487
6,34.5,-78.0,1,36.547466
6,34.5,-77.5,3,218.11464
6,35.0,-118.5,1,214.17546
6,35.0,-113.5,1,70.7451
6,35.0,-112.5,1,230.69456
6,35.0,-112.0,32,12943.047
6,35.0,-108.5,1,52.671234
6,35.0,-108.0,4,479.17953
6,35.0,-104.0,2,64.13542
6,35.0,-103.0,2,44.756798
6,35.0,-101.5,1,52.92439
6,35.0,-101.0,2,124.55172
6,35.0,-100.0,2,67.91565
6,35.0,-99.5,9,759.5112
6,35.0,-99.0,2,91.0647
6,35.0,-98.5,3,257.1757
6,35.0,-96.5,6,204.25362
6,35.0,-96.0,1,34.248867
6,35.0,-95.5,1,32.844234
6,35.0,-95.0,1,37.58666
6,35.0,-93.0,6,287.07532
6,35.0,-92.5,6,300.50775
6,35.0,-92.0,2,70.15723
6,35.0,-91.5,15,2073.1914
6,35.0,-91.0,6,432.27844
6,35.0,-90.5,10,1939.9409
6,35.0,-90.0,2,183.08202
6,35.0,-88.5,1,33.66909
6,35.0,-85.5,3,133.11722
6,35.0,-85.0,3,160.04962
6,35.0,-83.5,2,53.260628
6,35.0,-83.0,1,26.407753
6,35.0,-80.5,1,72.72833
6,35.0,-79.5,5,348.3291
6,35.0,-79.0,8,781.4213
6,35.0,-78.5,6,973.10834
6,35.0,-78.0,12,1053.0455
6,35.0,-77.5,12,839.2068
6,35.0,-77.0,4,120.620735
6,35.5,-120.5,3,381.8904
6,35.5,-120.0,4,874.7396
6,35.5,-119.0,1,80.79652
6,35.5,-118.0,1,61.047512
6,35.5,-117.5,1,43.69668
6,35.5,-117.0,2,162.57129
6,35.5,-112.0,20,9913.002
6,35.5,-111.5,33,21512.361
6,35.5,-111.0,1,54.417786
6,35.5,-108.0,1,40.690693
6,35.5,-105.5,1,51.86682
6,35.5,-105.0,5,966.67865
6,35.5,-104.0,14,3687.1262
6,35.5,-102.0,6,175.96442
6,35.5,-101.0,2,248.16216
6,35.5,-100.0,1,18.95823
6,35.5,-99.0,1,28.2208
6,35.5,-98.5,7,740.5245
6,35.5,-98.0,1,43.050873
6,35.5,-96.0,1,30.884869
6,35.5,-95.0,3,139.34337
6,35.5,-94.5,1,52.69199
6,35.5,-94.0,4,643.62964
6,35.5,-93.0,1,33.72536
6,35.5,-92.0,1,29.798824
6,35.5,-91.5,3,190.80722
6,35.5,-91.0,1,51.69196
6,35.5,-90.5,9,1124.9066
6,35.5,-90.0,17,3118.0461
6,35.5,-89.5,8,1876.2289
6,35.5,-89.0,1,74.832184
6,35.5,-88.5,4,178.05292
6,35.5,-88.0,1,29.865566
6,35.5,-87.5,1,135.60968
6,35.5,-86.5,2,62.13954
6,35.5,-84.0,1,34.997852
6,35.5,-83.5,3,100.16156
6,35.5,-83.0,2,47.717796
6,35.5,-81.5,1,31.333029
6,35.5,-80.5,1,24.274944
6,35.5,-78.5,4,325.47375
6,35.5,-78.0,5,383.4854
6,35.5,-77.5,7,270.74045
6,35.5,-77.0,4,284.4425
6,35.5,-76.5,11,1502.0656
6,35.5,-76.0,3,184.66895
6,36.0,-121.5,10,5101.756
6,36.0,-121.0,3,448.74463
6,36.0,-118.5,1,90.4172
6,36.0,-118.0,1,49.469173
6,36.0,-115.0,1,98.37755
6,36.0,-114.0,1,66.49304
6,36.0,-112.0,10,3481.7498
6,36.0,-111.0,1,49.03414
6,36.0,-110.0,1,105.12043
6,36.0,-109.5,7,3959.9534
6,36.0,-109.0,1,58.434906
6,36.0,-106.5,3,196.7941
6,36.0,-105.5,27,12903.6875
6,36.0,-105.0,1,65.49992
6,36.0,-104.5,5,371.68536
6,36.0,-104.0,13,3001.0667
6,36.0,-102.0,1,70.860275
