date,lat_bin,lon_bin,fire_count,fire_power_MW,max_temp_K,max_power_MW
2024-06-02,17.5,-91.5,1,108.34278,,108.34278
2024-06-02,17.5,-91.0,2,393.70203,577.9399,305.90488
2024-06-02,17.5,-89.0,6,526.6267,523.4427,102.43491
2024-06-02,18.0,-96.0,2,237.29526,781.15063,158.61304
2024-06-02,18.0,-93.0,10,2831.5823,1312.9375,840.9025
2024-06-02,18.0,-92.5,20,3083.716,1085.4448,620.01685
2024-06-02,18.0,-92.0,3,373.25867,1093.3008,195.83801
2024-06-02,18.0,-91.5,1,79.94374,413.07492,79.94374
2024-06-02,18.0,-89.5,1,58.5835,,58.5835
2024-06-02,18.0,-89.0,1,64.64298,890.0351,64.64298
2024-06-02,18.5,-103.0,1,96.5372,484.54755,96.5372
2024-06-02,18.5,-97.5,3,333.44366,468.45108,125.47166
2024-06-02,18.5,-91.5,2,131.81313,476.63666,66.82972
2024-06-02,18.5,-90.5,1,66.953445,412.69037,66.953445
2024-06-02,18.5,-89.0,5,428.82568,1132.9102,123.20617
2024-06-02,18.5,-88.5,5,671.58124,1501.2056,336.3366
2024-06-02,19.0,-89.5,3,213.70197,985.3502,87.99724
2024-06-02,19.0,-89.0,1,60.982227,427.57822,60.982227
2024-06-02,19.5,-90.0,1,26.657457,707.2608,26.657457
2024-06-02,19.5,-89.5,1,63.73827,551.2956,63.73827
2024-06-02,19.5,-89.0,3,288.44113,519.2675,124.56377
2024-06-02,19.5,-88.5,1,74.86732,713.9631,74.86732
2024-06-02,20.0,-105.5,1,71.717575,562.0632,71.717575
2024-06-02,20.0,-89.5,2,108.681366,446.97086,54.908863
2024-06-02,20.0,-88.5,3,164.92024,436.91745,67.916374
2024-06-02,20.5,-97.5,1,31.681322,568.38086,31.681322
2024-06-02,20.5,-90.5,4,301.63492,497.12802,88.17509
2024-06-02,20.5,-89.5,2,118.41788,537.7812,59.646725
2024-06-02,20.5,-89.0,2,135.78894,430.05035,81.22617
2024-06-02,20.5,-88.0,1,59.02635,581.1262,59.02635
2024-06-02,20.5,-87.5,2,50.57575,496.6336,27.96271
2024-06-02,21.0,-104.5,1,50.23366,657.32336,50.23366
2024-06-02,21.0,-89.5,2,171.47379,469.82452,96.886604
2024-06-02,21.0,-87.5,2,166.05478,562.22797,88.20581
2024-06-02,21.0,-87.0,2,164.71683,738.08026,95.98966
2024-06-02,22.0,-98.5,1,166.77419,,166.77419
2024-06-02,22.5,-104.0,1,55.562904,762.19745,55.562904
2024-06-02,23.0,-106.0,1,54.24793,455.48602,54.24793
2024-06-02,24.0,-78.0,1,171.07422,588.5976,171.07422
2024-06-02,25.5,-108.0,2,416.321,651.555,292.37384
2024-06-02,26.0,-107.5,1,43.265244,813.6731,43.265244
2024-06-02,27.5,-108.0,2,315.08655,,180.34833
2024-06-02,30.5,-85.0,1,193.97885,581.8404,193.97885
2024-06-02,31.5,-100.5,1,65.438675,835.86755,65.438675
2024-06-03,15.0,-90.0,1,90.459114,418.40378,90.459114
2024-06-03,15.5,-92.5,1,43.212982,962.00214,43.212982
2024-06-03,15.5,-91.0,2,136.60661,592.8826,83.9236
2024-06-03,15.5,-90.0,2,136.61626,507.8407,83.82209
2024-06-03,15.5,-89.5,3,180.89346,978.81274,70.76565
2024-06-03,15.5,-88.0,1,37.310192,590.5204,37.310192
2024-06-03,15.5,-86.0,1,74.93222,517.78424,74.93222
2024-06-03,16.0,-93.5,1,77.12468,414.72302,77.12468
2024-06-03,16.0,-92.0,1,90.47074,634.9641,90.47074
2024-06-03,16.0,-91.5,1,34.480953,415.1625,34.480953
2024-06-03,16.0,-90.5,4,265.1665,841.1964,93.78058
2024-06-03,16.0,-89.5,3,728.2182,1298.654,362.4125
2024-06-03,16.5,-99.0,2,146.34401,714.84204,84.69121
2024-06-03,16.5,-98.5,1,44.528637,812.84906,44.528637
2024-06-03,16.5,-95.0,1,31.783024,483.5587,31.783024
2024-06-03,16.5,-91.5,1,58.146526,627.9872,58.146526
2024-06-03,16.5,-91.0,2,102.62906,474.3293,52.21598
2024-06-03,17.0,-100.5,1,42.737938,628.09705,42.737938
2024-06-03,17.0,-95.5,1,42.3765,574.8634,42.3765
