time,lat,lon,Mask,Temp,Power,Area
2018-06-02T19:58:47,36.5799,-83.5600,215,,24.0918,0.0040
2018-06-02T19:58:47,37.4664,-107.8544,10,501.6878,183.6243,0.1163
2018-06-02T19:58:47,36.1877,-80.8625,215,,7.9271,0.0040
2018-06-02T19:58:47,36.1624,-80.8604,215,,8.6426,0.0040
2018-06-02T19:58:47,36.5631,-105.1256,10,2114.5186,1518.5896,0.0040
2018-06-02T19:58:47,36.5536,-104.9489,10,510.7523,76.1543,0.0423
2018-06-02T19:58:47,36.5384,-105.1417,10,1670.9049,946.1765,0.0040
2018-06-02T19:58:47,36.5368,-105.1123,10,615.4067,1323.2706,0.2131
2018-06-02T19:58:47,36.5105,-105.0990,10,516.0812,230.0280,0.1183
2018-06-02T19:58:47,35.6855,-82.8407,100,,18.6880,0.0040
2018-06-02T19:58:47,35.4906,-83.1674,215,,21.1593,0.0040
2018-06-02T19:58:47,35.4970,-85.0132,215,,31.2130,0.0040
2018-06-02T19:58:47,35.8757,-105.5802,100,,17.1140,0.0040
2018-06-02T19:58:47,34.8332,-91.3925,10,400.3846,32.2411,0.1362
2018-06-02T19:58:47,34.7239,-92.6494,14,,31.2150,
2018-06-02T19:58:47,34.6778,-94.9451,215,,11.7059,0.0040
2018-06-02T19:58:47,34.0237,-95.8172,10,531.3536,54.0685,0.0226
2018-06-02T19:58:47,33.5656,-90.5335,10,418.3488,33.9387,0.0954
2018-06-02T19:58:47,33.2137,-80.6007,215,,4.3806,0.0040
2018-06-02T19:58:47,34.0622,-109.6932,100,,7.4270,0.0040
2018-06-02T19:58:47,33.3481,-93.7462,10,403.7906,32.9347,0.1299
2018-06-02T19:58:47,33.9242,-108.0900,100,,12.7399,0.0040
2018-06-02T19:58:47,33.1542,-91.2922,10,602.1669,39.6193,0.0073
2018-06-02T19:58:47,33.0084,-86.1483,215,,2.6342,0.0040
2018-06-02T19:58:47,33.8164,-108.3529,215,,7.4528,0.0040
2018-06-02T19:58:47,33.7492,-108.4630,13,,226.2195,
2018-06-02T19:58:47,33.7476,-108.4331,10,707.9750,559.0364,0.0409
2018-06-02T19:58:47,33.7459,-108.4031,13,,188.1137,
2018-06-02T19:58:47,33.7241,-108.4498,13,,195.4977,
2018-06-02T19:58:47,33.7225,-108.4199,10,567.2272,383.6297,0.1034
2018-06-02T19:58:47,33.7088,-108.6165,13,,1196.5449,
2018-06-02T19:58:47,33.7072,-108.5865,13,,385.8514,
2018-06-02T19:58:47,33.6837,-108.6033,13,,518.7075,
2018-06-02T19:58:47,33.6821,-108.5733,13,,261.9000,
2018-06-02T19:58:47,33.6317,-109.4262,100,,7.5019,0.0040
2018-06-02T19:58:47,32.5934,-80.3777,100,,4.5249,0.0040
2018-06-02T19:58:47,33.0125,-100.2197,14,,99.6509,
2018-06-02T19:58:47,32.7373,-95.5168,10,415.6570,41.3834,0.1239
2018-06-02T19:58:47,32.8077,-98.0998,10,407.4164,25.1884,0.0921
2018-06-02T19:58:47,33.1968,-108.1194,100,,9.3504,0.0040
2018-06-02T19:58:47,32.3292,-90.6703,10,580.2472,59.3057,0.0138
2018-06-02T19:58:47,32.3286,-90.6470,10,989.9100,61.1946,0.0040
2018-06-02T19:58:47,32.1329,-84.8308,100,,12.2865,0.0040
2018-06-02T19:58:47,32.3036,-98.5857,10,433.2367,30.5675,0.0636
2018-06-02T19:58:47,31.9536,-99.2958,10,424.6116,23.0953,0.0578
2018-06-02T19:58:47,31.3417,-91.3901,10,400.3846,32.1310,0.1365
2018-06-02T19:58:47,31.7575,-106.0888,100,,9.9385,0.0040
2018-06-02T19:58:47,31.2586,-108.8115,13,,316.4925,
